FID,BoroCT2010,Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T004_009,SE_T004_010,SE_T004_011,SE_T004_012,SE_T004_013,SE_T004_014,SE_T004_015,SE_T004_016,SE_T004_017,SE_T004_018,SE_T004_019,SE_T004_020,SE_T004_021,SE_T004_022,SE_T004_023,SE_T004_024,SE_T004_025,SE_T004_026,SE_T004_027,SE_T004A001,SE_T004A002,SE_T004A003,SE_T004A004,SE_T004A005,SE_T004A006,SE_T004A007,SE_T004A008,SE_T004A009,SE_T004A010,SE_T004A011,SE_T004A012,SE_T004A013,SE_T004A014,SE_T004A015,SE_T004A016,SE_T004A017,SE_T004A018,SE_T004A019,SE_T004A020,SE_T004A021,SE_T004A022,SE_T004A023,SE_T004A024,SE_T004A025,SE_T004B001,SE_T004B002,SE_T004B003,SE_T004B004,SE_T004B005,SE_T004B006,SE_T004B007,SE_T004B008,SE_T004B009,SE_T004B010,SE_T004B011,SE_T004B012,SE_T004B013,SE_T004B014,SE_T004B015,SE_T004B016,SE_T004B017,SE_T004B018,SE_T004B019,SE_T004B020,SE_T004B021,SE_T004B022,SE_T004B023,SE_T004B024,SE_T004B025,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T008A001,SE_T008A002,SE_T008A003,SE_T008A004,SE_T008A005,SE_T008A006,SE_T008A007,SE_T008A008,SE_T008A009,SE_T008A010,SE_T008A011,SE_T008A012,SE_T008B001,SE_T008B002,SE_T008B003,SE_T008B004,SE_T008B005,SE_T008B006,SE_T008B007,SE_T008B008,SE_T008B009,SE_T008B010,SE_T008B011,SE_T008B012,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T012_009,SE_T012_010,SE_T012_011,SE_T012_012,SE_T012_013,SE_T012_014,SE_T012_015,SE_T012_016,SE_T012_017,SE_T012_018,SE_T012_019,SE_T012_020,SE_T012_021,SE_T012_022,SE_T012_023,SE_T012_024,SE_T012A001,SE_T012A002,SE_T012A003,SE_T012A004,SE_T012A005,SE_T012A006,SE_T012A007,SE_T012A008,SE_T012A009,SE_T012A010,SE_T012A011,SE_T012A012,SE_T012A013,SE_T012A014,SE_T012A015,SE_T012A016,SE_T012A017,SE_T012A018,SE_T012A019,SE_T012A020,SE_T012A021,SE_T012A022,SE_T012A023,SE_T012B001,SE_T012B002,SE_T012B003,SE_T012B004,SE_T012B005,SE_T012B006,SE_T012B007,SE_T012B008,SE_T012B009,SE_T012B010,SE_T012B011,SE_T012B012,SE_T012B013,SE_T012B014,SE_T012B015,SE_T012B016,SE_T012B017,SE_T012B018,SE_T012B019,SE_T012B020,SE_T012B021,SE_T012B022,SE_T012B023,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T017_010,SE_T017_011,SE_T017_012,SE_T017_013,SE_T017_014,SE_T017_015,SE_T017_016,SE_T017_017,SE_T017_018,SE_T017_019,SE_T017_020,SE_T017_021,SE_T017_022,SE_T017_023,SE_T017_024,SE_T017A001,SE_T017A002
344,3081400,Census Tract 814,"Census Tract 814, Kings County, New York",36047081400,140,0,36,47,22,,81400,2635,2635,40103.77,0.065704552,0.06570455,0.06570455,0,2635,1163,1472,2635,1163,60,74,64,56,142,168,134,162,143,109,45,6,1472,82,79,84,48,134,166,199,247,195,146,66,26,2635,1163,60,134,198,254,396,564,698,860,1003,1112,1157,1472,82,161,245,293,427,593,792,1039,1234,1380,1446,2635,1163,1103,1029,965,909,767,599,465,303,160,51,6,1472,1390,1311,1227,1179,1045,879,680,433,238,92,26,2635,1163,254,310,439,160,1472,293,300,641,238,2635,142,153,148,104,276,334,333,409,338,255,111,32,2635,142,295,443,547,823,1157,1490,1899,2237,2492,2603,2635,2493,2340,2192,2088,1812,1478,1145,736,398,143,32,2635,547,610,1080,398,2635,142,153,148,104,83,42,31,120,196,138,148,185,218,191,187,58,93,58,75,122,71,40,32,2635,142,295,443,547,630,672,703,823,1019,1157,1305,1490,1708,1899,2086,2144,2237,2295,2370,2492,2563,2603,2635,2493,2340,2192,2088,2005,1963,1932,1812,1616,1478,1330,1145,927,736,549,491,398,340,265,143,72,32,1163,254,310,439,160,1472,293,300,641,238,51,5,1,0,3,1,1,1,6,7,2,3,3,3,5,3,0,0,1,1,2,1,2,0,51,5
345,3081800,Census Tract 818,"Census Tract 818, Kings County, New York",36047081800,140,0,36,47,22,,81800,4551,4551,74640.23,0.060972483,0.06097248,0.06097248,0,4551,1983,2568,4551,1983,147,148,122,68,302,339,251,271,188,83,52,12,2568,145,130,140,74,317,444,334,368,309,164,103,40,4551,1983,147,295,417,485,787,1126,1377,1648,1836,1919,1971,2568,145,275,415,489,806,1250,1584,1952,2261,2425,2528,4551,1983,1836,1688,1566,1498,1196,857,606,335,147,64,12,2568,2423,2293,2153,2079,1762,1318,984,616,307,143,40,4551,1983,485,641,710,147,2568,489,761,1011,307,4551,292,278,262,142,619,783,585,639,497,247,155,52,4551,292,570,832,974,1593,2376,2961,3600,4097,4344,4499,4551,4259,3981,3719,3577,2958,2175,1590,951,454,207,52,4551,974,1402,1721,454,4551,292,278,262,142,120,65,76,358,425,358,298,287,312,327,265,119,113,62,65,120,100,55,52,4551,292,570,832,974,1094,1159,1235,1593,2018,2376,2674,2961,3273,3600,3865,3984,4097,4159,4224,4344,4444,4499,4551,4259,3981,3719,3577,3457,3392,3316,2958,2533,2175,1877,1590,1278,951,686,567,454,392,327,207,107,52,1983,485,641,710,147,2568,489,761,1011,307,279,8,8,6,4,5,3,6,71,50,32,17,13,7,19,8,7,0,2,3,2,3,2,3,279,8
346,3082400,Census Tract 824,"Census Tract 824, Kings County, New York",36047082400,140,0,36,47,22,,82400,4730,4730,57154.12,0.082758685,0.08275869,0.08275869,0,4730,2133,2597,4730,2133,157,154,153,97,279,318,281,285,243,112,49,5,2597,161,163,157,90,270,386,369,396,307,197,67,34,4730,2133,157,311,464,561,840,1158,1439,1724,1967,2079,2128,2597,161,324,481,571,841,1227,1596,1992,2299,2496,2563,4730,2133,1976,1822,1669,1572,1293,975,694,409,166,54,5,2597,2436,2273,2116,2026,1756,1370,1001,605,298,101,34,4730,2133,561,597,809,166,2597,571,656,1072,298,4730,318,317,310,187,549,704,650,681,550,309,116,39,4730,318,635,945,1132,1681,2385,3035,3716,4266,4575,4691,4730,4412,4095,3785,3598,3049,2345,1695,1014,464,155,39,4730,1132,1253,1881,464,4730,318,317,310,187,146,60,91,252,369,335,318,332,351,330,297,96,157,81,106,122,70,46,39,4730,318,635,945,1132,1278,1338,1429,1681,2050,2385,2703,3035,3386,3716,4013,4109,4266,4347,4453,4575,4645,4691,4730,4412,4095,3785,3598,3452,3392,3301,3049,2680,2345,2027,1695,1344,1014,717,621,464,383,277,155,85,39,2133,561,597,809,166,2597,571,656,1072,298,105,12,6,3,3,1,1,3,7,10,6,8,8,9,4,8,1,4,0,6,1,4,0,0,105,12
347,3082600,Census Tract 826,"Census Tract 826, Kings County, New York",36047082600,140,0,36,47,22,,82600,5513,5513,71718.98,0.076869468,0.07686947,0.07686947,0,5513,2481,3032,5513,2481,186,163,176,123,279,326,344,365,261,161,75,22,3032,180,186,165,122,293,411,407,506,357,221,135,49,5513,2481,186,349,525,648,927,1253,1597,1962,2223,2384,2459,3032,180,366,531,653,946,1357,1764,2270,2627,2848,2983,5513,2481,2295,2132,1956,1833,1554,1228,884,519,258,97,22,3032,2852,2666,2501,2379,2086,1675,1268,762,405,184,49,5513,2481,648,605,970,258,3032,653,704,1270,405,5513,366,349,341,245,572,737,751,871,618,382,210,71,5513,366,715,1056,1301,1873,2610,3361,4232,4850,5232,5442,5513,5147,4798,4457,4212,3640,2903,2152,1281,663,281,71,5513,1301,1309,2240,663,5513,366,349,341,245,168,93,78,233,370,367,356,395,413,458,332,116,170,105,104,173,129,81,71,5513,366,715,1056,1301,1469,1562,1640,1873,2243,2610,2966,3361,3774,4232,4564,4680,4850,4955,5059,5232,5361,5442,5513,5147,4798,4457,4212,4044,3951,3873,3640,3270,2903,2547,2152,1739,1281,949,833,663,558,454,281,152,71,2481,648,605,970,258,3032,653,704,1270,405,148,10,19,12,6,5,2,0,7,13,9,9,9,14,8,4,0,6,2,6,2,1,3,1,148,10
348,3082800,Census Tract 828,"Census Tract 828, Kings County, New York",36047082800,140,0,36,47,22,,82800,3814,3814,63048.68,0.060492944,0.06049294,0.06049294,0,3814,1690,2124,3814,1690,115,127,119,86,189,238,201,284,187,91,41,12,2124,131,125,126,67,223,333,274,338,266,132,79,30,3814,1690,115,242,361,447,636,874,1075,1359,1546,1637,1678,2124,131,256,382,449,672,1005,1279,1617,1883,2015,2094,3814,1690,1575,1448,1329,1243,1054,816,615,331,144,53,12,2124,1993,1868,1742,1675,1452,1119,845,507,241,109,30,3814,1690,447,427,672,144,2124,449,556,878,241,3814,246,252,245,153,412,571,475,622,453,223,120,42,3814,246,498,743,896,1308,1879,2354,2976,3429,3652,3772,3814,3568,3316,3071,2918,2506,1935,1460,838,385,162,42,3814,896,983,1550,385,3814,246,252,245,153,122,62,43,185,317,254,232,243,330,292,253,91,109,49,63,111,62,58,42,3814,246,498,743,896,1018,1080,1123,1308,1625,1879,2111,2354,2684,2976,3229,3320,3429,3478,3541,3652,3714,3772,3814,3568,3316,3071,2918,2796,2734,2691,2506,2189,1935,1703,1460,1130,838,585,494,385,336,273,162,100,42,1690,447,427,672,144,2124,449,556,878,241,112,8,4,5,1,3,2,1,4,7,10,7,4,8,11,9,3,4,3,4,5,2,2,5,112,8
349,3083200,Census Tract 832,"Census Tract 832, Kings County, New York",36047083200,140,0,36,47,22,,83200,2289,2289,40731.87,0.056196785,0.05619679,0.05619679,0,2289,1006,1283,2289,1006,75,60,65,37,102,163,133,153,104,74,30,10,1283,61,68,88,47,91,190,151,167,205,143,50,22,2289,1006,75,135,200,237,339,502,635,788,892,966,996,1283,61,129,217,264,355,545,696,863,1068,1211,1261,2289,1006,931,871,806,769,667,504,371,218,114,40,10,1283,1222,1154,1066,1019,928,738,587,420,215,72,22,2289,1006,237,265,390,114,1283,264,281,523,215,2289,136,128,153,84,193,353,284,320,309,217,80,32,2289,136,264,417,501,694,1047,1331,1651,1960,2177,2257,2289,2153,2025,1872,1788,1595,1242,958,638,329,112,32,2289,501,546,913,329,2289,136,128,153,84,61,28,25,79,170,183,151,133,165,155,173,54,82,57,81,79,49,31,32,2289,136,264,417,501,562,590,615,694,864,1047,1198,1331,1496,1651,1824,1878,1960,2017,2098,2177,2226,2257,2289,2153,2025,1872,1788,1727,1699,1674,1595,1425,1242,1091,958,793,638,465,411,329,272,191,112,63,32,1006,237,265,390,114,1283,264,281,523,215,38,2,0,0,2,1,2,0,1,3,0,3,3,2,4,1,2,0,3,1,4,3,0,1,38,2
350,3083600,Census Tract 836,"Census Tract 836, Kings County, New York",36047083600,140,0,36,47,22,,83600,1929,1929,23996.92,0.080385315,0.08038531,0.08038531,0,1929,884,1045,1929,884,62,46,72,40,85,125,100,127,116,79,22,10,1045,55,42,58,41,78,159,130,176,136,115,38,17,1929,884,62,108,180,220,305,430,530,657,773,852,874,1045,55,97,155,196,274,433,563,739,875,990,1028,1929,884,822,776,704,664,579,454,354,227,111,32,10,1045,990,948,890,849,771,612,482,306,170,55,17,1929,884,220,210,343,111,1045,196,237,442,170,1929,117,88,130,81,163,284,230,303,252,194,60,27,1929,117,205,335,416,579,863,1093,1396,1648,1842,1902,1929,1812,1724,1594,1513,1350,1066,836,533,281,87,27,1929,416,447,785,281,1929,117,88,130,81,34,35,21,73,162,122,114,116,153,150,138,44,70,45,57,92,40,20,27,1929,117,205,335,416,450,485,506,579,741,863,977,1093,1246,1396,1534,1578,1648,1693,1750,1842,1882,1902,1929,1812,1724,1594,1513,1479,1444,1423,1350,1188,1066,952,836,683,533,395,351,281,236,179,87,47,27,884,220,210,343,111,1045,196,237,442,170,42,1,0,2,1,1,1,1,1,2,3,0,0,6,6,3,0,1,0,1,1,1,0,10,42,1
351,3083800,Census Tract 838,"Census Tract 838, Kings County, New York",36047083800,140,0,36,47,22,,83800,2189,2189,33960.8,0.064456669,0.06445667,0.06445667,0,2189,1013,1176,2189,1013,45,53,62,43,116,144,132,138,136,106,30,8,1176,45,51,53,44,108,151,147,192,173,136,57,19,2189,1013,45,98,160,203,319,463,595,733,869,975,1005,1176,45,96,149,193,301,452,599,791,964,1100,1157,2189,1013,968,915,853,810,694,550,418,280,144,38,8,1176,1131,1080,1027,983,875,724,577,385,212,76,19,2189,1013,203,260,406,144,1176,193,259,512,212,2189,90,104,115,87,224,295,279,330,309,242,87,27,2189,90,194,309,396,620,915,1194,1524,1833,2075,2162,2189,2099,1995,1880,1793,1569,1274,995,665,356,114,27,2189,396,519,918,356,2189,90,104,115,87,60,33,30,101,147,148,151,128,168,162,171,63,75,59,82,101,56,31,27,2189,90,194,309,396,456,489,519,620,767,915,1066,1194,1362,1524,1695,1758,1833,1892,1974,2075,2131,2162,2189,2099,1995,1880,1793,1733,1700,1670,1569,1422,1274,1123,995,827,665,494,431,356,297,215,114,58,27,1013,203,260,406,144,1176,193,259,512,212,54,0,1,1,1,2,0,0,0,2,3,4,4,9,6,2,1,0,0,2,4,4,6,2,54,0
352,3084000,Census Tract 840,"Census Tract 840, Kings County, New York",36047084000,140,0,36,47,22,,84000,2412,2412,36735.04,0.065659378,0.06565937,0.06565937,0,2412,1073,1339,2412,1073,73,70,61,49,129,132,116,124,155,106,46,12,1339,41,43,70,57,126,149,167,221,199,161,65,40,2412,1073,73,143,204,253,382,514,630,754,909,1015,1061,1339,41,84,154,211,337,486,653,874,1073,1234,1299,2412,1073,1000,930,869,820,691,559,443,319,164,58,12,1339,1298,1255,1185,1128,1002,853,686,465,266,105,40,2412,1073,253,261,395,164,1339,211,275,587,266,2412,114,113,131,106,255,281,283,345,354,267,111,52,2412,114,227,358,464,719,1000,1283,1628,1982,2249,2360,2412,2298,2185,2054,1948,1693,1412,1129,784,430,163,52,2412,464,536,982,430,2412,114,113,131,106,72,37,37,109,141,140,139,144,171,174,178,77,99,88,85,94,65,46,52,2412,114,227,358,464,536,573,610,719,860,1000,1139,1283,1454,1628,1806,1883,1982,2070,2155,2249,2314,2360,2412,2298,2185,2054,1948,1876,1839,1802,1693,1552,1412,1273,1129,958,784,606,529,430,342,257,163,98,52,1073,253,261,395,164,1339,211,275,587,266,105,2,4,5,0,1,1,0,3,6,6,8,5,6,7,6,2,5,10,8,3,5,6,6,105,2
353,3084600,Census Tract 846,"Census Tract 846, Kings County, New York",36047084600,140,0,36,47,22,,84600,1963,1963,30529.91,0.064297595,0.06429759,0.06429759,0,1963,878,1085,1963,878,54,43,57,25,100,111,117,127,97,86,51,10,1085,61,62,64,25,78,149,127,186,131,119,62,21,1963,878,54,97,154,179,279,390,507,634,731,817,868,1085,61,123,187,212,290,439,566,752,883,1002,1064,1963,878,824,781,724,699,599,488,371,244,147,61,10,1085,1024,962,898,873,795,646,519,333,202,83,21,1963,878,179,211,341,147,1085,212,227,444,202,1963,115,105,121,50,178,260,244,313,228,205,113,31,1963,115,220,341,391,569,829,1073,1386,1614,1819,1932,1963,1848,1743,1622,1572,1394,1134,890,577,349,144,31,1963,391,438,785,349,1963,115,105,121,50,44,25,33,76,130,130,131,113,133,180,110,41,77,49,66,90,75,38,31,1963,115,220,341,391,435,460,493,569,699,829,960,1073,1206,1386,1496,1537,1614,1663,1729,1819,1894,1932,1963,1848,1743,1622,1572,1528,1503,1470,1394,1264,1134,1003,890,757,577,467,426,349,300,234,144,69,31,878,179,211,341,147,1085,212,227,444,202,58,4,7,9,0,0,0,0,1,3,0,5,5,5,1,2,1,1,2,4,1,1,4,2,58,4
354,3084800,Census Tract 848,"Census Tract 848, Kings County, New York",36047084800,140,0,36,47,22,,84800,1750,1750,32963,0.053089821,0.05308982,0.05308982,0,1750,799,951,1750,799,57,49,45,37,99,79,98,120,92,60,54,9,951,57,48,53,33,95,120,122,144,123,81,60,15,1750,799,57,106,151,188,287,366,464,584,676,736,790,951,57,105,158,191,286,406,528,672,795,876,936,1750,799,742,693,648,611,512,433,335,215,123,63,9,951,894,846,793,760,665,545,423,279,156,75,15,1750,799,188,178,310,123,951,191,215,389,156,1750,114,97,98,70,194,199,220,264,215,141,114,24,1750,114,211,309,379,573,772,992,1256,1471,1612,1726,1750,1636,1539,1441,1371,1177,978,758,494,279,138,24,1750,379,393,699,279,1750,114,97,98,70,50,27,39,78,106,93,112,108,119,145,127,34,54,27,45,69,63,51,24,1750,114,211,309,379,429,456,495,573,679,772,884,992,1111,1256,1383,1417,1471,1498,1543,1612,1675,1726,1750,1636,1539,1441,1371,1321,1294,1255,1177,1071,978,866,758,639,494,367,333,279,252,207,138,75,24,799,188,178,310,123,951,191,215,389,156,17,0,0,1,0,1,1,0,2,2,2,1,1,1,1,0,1,1,0,1,1,0,0,0,17,0
355,3085000,Census Tract 850,"Census Tract 850, Kings County, New York",36047085000,140,0,36,47,22,,85000,1374,1374,24608.05,0.055835394,0.05583539,0.05583539,0,1374,596,778,1374,596,35,21,41,25,65,84,77,82,73,63,28,2,778,37,39,45,24,80,92,86,114,124,86,40,11,1374,596,35,56,97,122,187,271,348,430,503,566,594,778,37,76,121,145,225,317,403,517,641,727,767,1374,596,561,540,499,474,409,325,248,166,93,30,2,778,741,702,657,633,553,461,375,261,137,51,11,1374,596,122,149,232,93,778,145,172,324,137,1374,72,60,86,49,145,176,163,196,197,149,68,13,1374,72,132,218,267,412,588,751,947,1144,1293,1361,1374,1302,1242,1156,1107,962,786,623,427,230,81,13,1374,267,321,556,230,1374,72,60,86,49,29,30,21,65,84,92,78,85,97,99,112,24,61,40,51,58,45,23,13,1374,72,132,218,267,296,326,347,412,496,588,666,751,848,947,1059,1083,1144,1184,1235,1293,1338,1361,1374,1302,1242,1156,1107,1078,1048,1027,962,878,786,708,623,526,427,315,291,230,190,139,81,36,13,596,122,149,232,93,778,145,172,324,137,55,2,0,1,2,0,0,0,0,1,4,8,2,5,4,7,0,2,3,2,3,4,3,2,55,2
356,3085600,Census Tract 856,"Census Tract 856, Kings County, New York",36047085600,140,0,36,47,22,,85600,3608,3608,58902.7,0.061253566,0.06125357,0.06125357,0,3608,1525,2083,3608,1525,111,105,112,67,186,222,188,207,178,94,47,8,2083,103,117,112,57,202,327,272,324,277,170,87,35,3608,1525,111,216,328,395,581,803,991,1198,1376,1470,1517,2083,103,220,332,389,591,918,1190,1514,1791,1961,2048,3608,1525,1414,1309,1197,1130,944,722,534,327,149,55,8,2083,1980,1863,1751,1694,1492,1165,893,569,292,122,35,3608,1525,395,408,573,149,2083,389,529,873,292,3608,214,222,224,124,388,549,460,531,455,264,134,43,3608,214,436,660,784,1172,1721,2181,2712,3167,3431,3565,3608,3394,3172,2948,2824,2436,1887,1427,896,441,177,43,3608,784,937,1446,441,3608,214,222,224,124,113,62,52,161,269,280,239,221,269,262,258,72,125,60,89,115,79,55,43,3608,214,436,660,784,897,959,1011,1172,1441,1721,1960,2181,2450,2712,2970,3042,3167,3227,3316,3431,3510,3565,3608,3394,3172,2948,2824,2711,2649,2597,2436,2167,1887,1648,1427,1158,896,638,566,441,381,292,177,98,43,1525,395,408,573,149,2083,389,529,873,292,69,1,5,6,1,0,0,0,5,12,4,2,4,6,7,4,0,2,1,1,3,0,3,2,69,1
357,3086000,Census Tract 860,"Census Tract 860, Kings County, New York",36047086000,140,0,36,47,22,,86000,3426,3426,50964.04,0.067223864,0.06722386,0.06722386,0,3426,1575,1851,3426,1575,79,132,121,81,152,228,193,250,183,94,51,11,1851,101,110,111,78,135,288,256,280,231,166,72,23,3426,1575,79,211,332,413,565,793,986,1236,1419,1513,1564,1851,101,211,322,400,535,823,1079,1359,1590,1756,1828,3426,1575,1496,1364,1243,1162,1010,782,589,339,156,62,11,1851,1750,1640,1529,1451,1316,1028,772,492,261,95,23,3426,1575,413,380,626,156,1851,400,423,767,261,3426,180,242,232,159,287,516,449,530,414,260,123,34,3426,180,422,654,813,1100,1616,2065,2595,3009,3269,3392,3426,3246,3004,2772,2613,2326,1810,1361,831,417,157,34,3426,813,803,1393,417,3426,180,242,232,159,80,40,48,119,262,254,219,230,273,257,208,86,120,66,84,110,78,45,34,3426,180,422,654,813,893,933,981,1100,1362,1616,1835,2065,2338,2595,2803,2889,3009,3075,3159,3269,3347,3392,3426,3246,3004,2772,2613,2533,2493,2445,2326,2064,1810,1591,1361,1088,831,623,537,417,351,267,157,79,34,1575,413,380,626,156,1851,400,423,767,261,72,2,3,6,6,1,2,1,3,4,9,1,1,13,4,2,4,1,1,1,2,0,2,3,72,2
358,3086200,Census Tract 862,"Census Tract 862, Kings County, New York",36047086200,140,0,36,47,22,,86200,2996,2996,55367.61,0.054111062,0.05411106,0.05411106,0,2996,1302,1694,2996,1302,110,91,101,60,143,176,157,179,141,90,51,3,1694,64,100,103,63,167,256,237,283,201,128,73,19,2996,1302,110,201,302,362,505,681,838,1017,1158,1248,1299,1694,64,164,267,330,497,753,990,1273,1474,1602,1675,2996,1302,1192,1101,1000,940,797,621,464,285,144,54,3,1694,1630,1530,1427,1364,1197,941,704,421,220,92,19,2996,1302,362,319,477,144,1694,330,423,721,220,2996,174,191,204,123,310,432,394,462,342,218,124,22,2996,174,365,569,692,1002,1434,1828,2290,2632,2850,2974,2996,2822,2631,2427,2304,1994,1562,1168,706,364,146,22,2996,692,742,1198,364,2996,174,191,204,123,93,37,55,125,218,214,190,204,230,232,169,62,111,54,62,102,78,46,22,2996,174,365,569,692,785,822,877,1002,1220,1434,1624,1828,2058,2290,2459,2521,2632,2686,2748,2850,2928,2974,2996,2822,2631,2427,2304,2211,2174,2119,1994,1776,1562,1372,1168,938,706,537,475,364,310,248,146,68,22,1302,362,319,477,144,1694,330,423,721,220,59,2,4,3,4,0,0,0,1,2,6,8,5,4,7,2,1,4,0,2,1,3,0,0,59,2
359,3086400,Census Tract 864,"Census Tract 864, Kings County, New York",36047086400,140,0,36,47,22,,86400,2231,2231,37940.01,0.058803361,0.05880336,0.05880336,0,2231,958,1273,2231,958,58,75,84,40,92,115,114,149,115,69,43,4,1273,60,70,77,47,133,183,154,203,166,109,56,15,2231,958,58,133,217,257,349,464,578,727,842,911,954,1273,60,130,207,254,387,570,724,927,1093,1202,1258,2231,958,900,825,741,701,609,494,380,231,116,47,4,1273,1213,1143,1066,1019,886,703,549,346,180,71,15,2231,958,257,207,378,116,1273,254,316,523,180,2231,118,145,161,87,225,298,268,352,281,178,99,19,2231,118,263,424,511,736,1034,1302,1654,1935,2113,2212,2231,2113,1968,1807,1720,1495,1197,929,577,296,118,19,2231,511,523,901,296,2231,118,145,161,87,50,37,43,95,159,139,112,156,167,185,148,46,87,47,50,81,60,39,19,2231,118,263,424,511,561,598,641,736,895,1034,1146,1302,1469,1654,1802,1848,1935,1982,2032,2113,2173,2212,2231,2113,1968,1807,1720,1670,1633,1590,1495,1336,1197,1085,929,762,577,429,383,296,249,199,118,58,19,958,257,207,378,116,1273,254,316,523,180,27,3,0,2,0,0,1,1,4,4,2,2,2,1,2,1,0,2,0,0,0,0,0,0,27,3
360,3086600,Census Tract 866,"Census Tract 866, Kings County, New York",36047086600,140,0,36,47,22,,86600,3149,3149,52106.54,0.060433871,0.06043387,0.06043387,0,3149,1359,1790,3149,1359,99,104,93,60,133,189,191,163,154,125,38,10,1790,112,78,101,56,148,232,255,273,264,166,81,24,3149,1359,99,203,296,356,489,678,869,1032,1186,1311,1349,1790,112,190,291,347,495,727,982,1255,1519,1685,1766,3149,1359,1260,1156,1063,1003,870,681,490,327,173,48,10,1790,1678,1600,1499,1443,1295,1063,808,535,271,105,24,3149,1359,356,322,508,173,1790,347,380,792,271,3149,211,182,194,116,281,421,446,436,418,291,119,34,3149,211,393,587,703,984,1405,1851,2287,2705,2996,3115,3149,2938,2756,2562,2446,2165,1744,1298,862,444,153,34,3149,703,702,1300,444,3149,211,182,194,116,72,42,36,131,224,197,233,213,217,219,201,87,130,79,88,124,64,55,34,3149,211,393,587,703,775,817,853,984,1208,1405,1638,1851,2068,2287,2488,2575,2705,2784,2872,2996,3060,3115,3149,2938,2756,2562,2446,2374,2332,2296,2165,1941,1744,1511,1298,1081,862,661,574,444,365,277,153,89,34,1359,356,322,508,173,1790,347,380,792,271,40,4,1,0,1,1,0,0,2,4,3,6,1,1,4,3,1,2,1,1,1,1,0,2,40,4
361,3086800,Census Tract 868,"Census Tract 868, Kings County, New York",36047086800,140,0,36,47,22,,86800,3156,3156,46820.95,0.067405718,0.06740572,0.06740572,0,3156,1351,1805,3156,1351,84,80,126,99,158,160,157,201,147,91,34,14,1805,95,90,95,72,183,249,250,309,247,119,69,27,3156,1351,84,164,290,389,547,707,864,1065,1212,1303,1337,1805,95,185,280,352,535,784,1034,1343,1590,1709,1778,3156,1351,1267,1187,1061,962,804,644,487,286,139,48,14,1805,1710,1620,1525,1453,1270,1021,771,462,215,96,27,3156,1351,389,318,505,139,1805,352,432,806,215,3156,179,170,221,171,341,409,407,510,394,210,103,41,3156,179,349,570,741,1082,1491,1898,2408,2802,3012,3115,3156,2977,2807,2586,2415,2074,1665,1258,748,354,144,41,3156,741,750,1311,354,3156,179,170,221,171,115,57,43,126,233,176,198,209,239,271,238,66,90,44,67,99,58,45,41,3156,179,349,570,741,856,913,956,1082,1315,1491,1689,1898,2137,2408,2646,2712,2802,2846,2913,3012,3070,3115,3156,2977,2807,2586,2415,2300,2243,2200,2074,1841,1665,1467,1258,1019,748,510,444,354,310,243,144,86,41,1351,389,318,505,139,1805,352,432,806,215,91,11,5,5,4,4,1,4,6,5,3,13,6,7,2,2,1,1,1,0,3,0,2,5,91,11
